2022-04-14 10:23:35,926 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-14 10:23:35,926 | bot | INFO | Bot Subclass Created.
2022-04-14 10:23:35,932 | bot | INFO | Cog loaded: ErrorHandler
2022-04-14 10:23:35,937 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-14 10:23:35,939 | bot | INFO | Cog loaded: OCPcommands
2022-04-14 10:23:35,941 | bot | INFO | Cog loaded: CPcommands
2022-04-14 10:23:35,944 | bot | INFO | Cog loaded: AdminCommands
2022-04-14 17:08:35,245 | main | INFO | Starting program...
2022-04-14 17:08:35,246 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-14 17:08:35,273 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-14 17:08:35,273 | bot | INFO | Bot Subclass Created.
2022-04-14 17:08:35,276 | bot | INFO | Cog loaded: AdminCommands
2022-04-14 17:08:35,277 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-14 17:08:35,278 | bot | INFO | Cog loaded: CPcommands
2022-04-14 17:08:35,280 | bot | INFO | Cog loaded: OCPcommands
2022-04-14 17:08:35,280 | bot | INFO | Cog loaded: ErrorHandler
2022-04-14 18:24:14,572 | main | INFO | Starting program...
2022-04-14 18:24:14,575 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-14 18:24:14,651 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-14 18:24:14,651 | bot | INFO | Bot Subclass Created.
2022-04-14 18:24:14,661 | bot | INFO | Cog loaded: CPcommands
2022-04-14 18:24:14,672 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-14 18:24:14,675 | bot | INFO | Cog loaded: ErrorHandler
2022-04-14 18:24:14,677 | bot | INFO | Cog loaded: OCPcommands
2022-04-14 18:24:14,683 | bot | INFO | Cog loaded: AdminCommands
2022-04-14 21:53:39,741 | main | INFO | Starting program...
2022-04-14 21:53:39,742 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-14 21:53:39,797 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-14 21:53:39,798 | bot | INFO | Bot Subclass Created.
2022-04-14 21:53:39,803 | bot | INFO | Cog loaded: ErrorHandler
2022-04-14 21:53:39,805 | bot | INFO | Cog loaded: AdminCommands
2022-04-14 21:53:39,807 | bot | INFO | Cog loaded: OCPcommands
2022-04-14 21:53:39,809 | bot | INFO | Cog loaded: CPcommands
2022-04-14 21:53:39,813 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-14 23:38:42,720 | main | INFO | Starting program...
2022-04-14 23:38:42,724 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-14 23:38:42,799 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-14 23:38:42,799 | bot | INFO | Bot Subclass Created.
2022-04-14 23:38:42,805 | bot | INFO | Cog loaded: ErrorHandler
2022-04-14 23:38:42,807 | bot | INFO | Cog loaded: CPcommands
2022-04-14 23:38:42,811 | bot | INFO | Cog loaded: OCPcommands
2022-04-14 23:38:42,820 | bot | INFO | Cog loaded: AdminCommands
2022-04-14 23:38:42,826 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-15 04:09:05,837 | main | INFO | Starting program...
2022-04-15 04:09:05,839 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-15 04:09:05,908 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-15 04:09:05,909 | bot | INFO | Bot Subclass Created.
2022-04-15 04:09:05,926 | bot | INFO | Cog loaded: OCPcommands
2022-04-15 04:09:05,937 | bot | INFO | Cog loaded: AdminCommands
2022-04-15 04:09:05,946 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-15 04:09:05,949 | bot | INFO | Cog loaded: ErrorHandler
2022-04-15 04:09:05,955 | bot | INFO | Cog loaded: CPcommands
2022-04-15 09:23:33,192 | main | INFO | Starting program...
2022-04-15 09:23:33,194 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-15 09:23:33,219 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-15 09:23:33,219 | bot | INFO | Bot Subclass Created.
2022-04-15 09:23:33,223 | bot | INFO | Cog loaded: CrusaderProfile
